번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,음식점카페구분,입력주소,X,Y,행정동코드,행정동명,법정동코드,법정동명
6631,,,로아나,제과점업,카페,제주특별자치도,126.5186703,33.25253757,,대륜동,,서호동
6632,,,모슬포스마일꽈배기,제과점업,카페,제주특별자치도,126.2532892,33.22146906,,대정읍,,대정읍
6633,,,동문당제과점,제과점업,카페,제주특별자치도,126.5673528,33.24879827,,중앙동,,서귀동
6634,,,그로미제과,제과점업,카페,제주특별자치도,126.581333,33.51951894,,삼양동,,삼양이동
6635,,,드숑신시가지,제과점업,카페,제주특별자치도,126.5196077,33.25040291,,대륜동,,서호동
6636,,,신세계제과점,제과점업,카페,제주특별자치도,126.2541237,33.22212088,,대정읍,,대정읍
6637,,,서귀포파리바게뜨,제과점업,카페,제주특별자치도,126.5680059,33.24888694,,중앙동,,서귀동
6638,,,조인크,제과점업,카페,제주특별자치도,126.5480823,33.49318628,,이도2동,,이도이동
6639,,,하나로베이커리,제과점업,카페,제주특별자치도,126.2639401,33.40997039,,한림읍,,한림읍
6640,,,파리바게뜨제주아라점,제과점업,카페,제주특별자치도,126.5453827,33.47379773,,아라동,,아라일동
6641,,,뚜레쥬르,제과점업,카페,제주특별자치도,126.4258155,33.25145082,,중문동,,중문동
6642,,,보엠,제과점업,카페,제주특별자치도,126.4839342,33.47990421,,노형동,,노형동
6643,,,도레구떼,제과점업,카페,제주특별자치도,126.5351658,33.5138606,,건입동,,건입동
6644,,,도란도넛,제과점업,카페,제주특별자치도,126.4294779,33.4868352,,외도동,,외도일동
6645,,,파리바게뜨제주,제과점업,카페,제주특별자치도,126.5421513,33.50421503,,일도2동,,일도이동
6646,,,라헌,제과점업,카페,제주특별자치도,126.5094748,33.48244993,,오라동,,오라이동
6647,,,시간낭비,제과점업,카페,제주특별자치도,126.2564971,33.4058812,,한림읍,,한림읍
6648,,,슈언니마카롱,제과점업,카페,제주특별자치도,126.5137495,33.23831462,,대륜동,,법환동
