번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
1," 박물관, 미술관 ",제주특별자치도 제주시 노형동 1534번지 0호  로비호,한라디지털아트뮤지엄,미술관,126.4746497,33.4768875,5011066000,노형동,5011012200,노형동
2," 박물관, 미술관 ",제주특별자치도 제주시 한림읍 월림리 115번지 161호  ,유동룡미술관,미술관,126.2676496,33.3423082,5011025000,한림읍,5011025034,한림읍 월림리
3," 박물관, 미술관 ",제주특별자치도 제주시 우도면 연평리 1706번지 1호  ,훈데르트바서파크,박물관,126.9558916,33.493408,5011033000,우도면,5011033021,우도면 연평리
4," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 상천리 837번지 0호  ,포도뮤지엄,미술관,126.3862354,33.3189416,5013031000,안덕면,5013031030,안덕면 상천리
5," 박물관, 미술관 ",제주특별자치도 제주시 한경면 저지리 2114번지 60호  ,예나르공예박물관,박물관,126.2647942,33.3362641,5011031000,한경면,5011031030,한경면 저지리
6," 박물관, 미술관 ",제주특별자치도 제주시 구좌읍 송당리 2303번지 3호  ,SN박물관,박물관,126.7772215,33.4424917,5011025600,구좌읍,5011025625,구좌읍 송당리
7," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 조천리 1156번지 0호  0동 ,제주항일기념관,박물관,126.6427397,33.5416467,5011025900,조천읍,5011025923,조천읍 조천리
8," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 신흥리 227번지 5호  ,김택화미술관,미술관,126.6535227,33.5440634,5011025900,조천읍,5011025925,조천읍 신흥리
9," 박물관, 미술관 ",제주특별자치도 제주시 오등동 180번지 3호  ,산악박물관,박물관,126.5418156,33.4620085,5011063000,아라동,5011013400,오등동
10," 박물관, 미술관 ",제주특별자치도 제주시 해안동 4번지 0호  ,제주옹기숨미술관,미술관,126.4805215,33.4492725,5011066000,노형동,5011013900,해안동
11," 박물관, 미술관 ",    ,피규어뮤지엄제주,박물관,123.7417741,32.5220203,,,,
12," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 수산리 3233번지 0호  ,제주해양동물박물관,박물관,126.8555437,33.4296609,5013025900,성산읍,5013025925,성산읍 수산리
13," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 동광리 383번지 0호  1동 ,북앤토이 뮤지엄,박물관,126.3453529,33.3189808,5013031000,안덕면,5013031028,안덕면 동광리
14," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 고성리 182번지 0호  ,유민 아르누보 뮤지엄,미술관,126.9301764,33.4326803,5013025900,성산읍,5013025924,성산읍 고성리
15," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 선흘리 478번지 0호 제주세계자연유산센터 ,제주세계자연유산센터 세계유산전시관,박물관,126.7143089,33.4569933,5011025900,조천읍,5011025930,조천읍 선흘리
16," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 삼달리 437번지 5호  ,김영갑갤러리두모악,미술관,126.8553535,33.372018,5013025900,성산읍,5013025928,성산읍 삼달리
17," 박물관, 미술관 ",제주특별자치도 제주시 한림읍 월림리 115번지 23호  ,제주도립 김창열미술관,미술관,126.2676496,33.3423082,5011025000,한림읍,5011025034,한림읍 월림리
18," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 상천리 837번지  ,레오나르도 다빈치 과학박물관,박물관,126.3862354,33.3189416,5013031000,안덕면,5013031030,안덕면 상천리
19," 박물관, 미술관 ",제주특별자치도 제주시 건입동 1164번지 0호 김만덕기념관 ,김만덕기념관,박물관,126.5304075,33.5158779,5011059000,건입동,5011010700,건입동
20," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 고성리 2040번지 1호  ,제주커피박물관 바움,박물관,126.9027096,33.440546,5013025900,성산읍,5013025924,성산읍 고성리
21," 박물관, 미술관 ",제주특별자치도 서귀포시 표선면 하천리 1814번지 1호  ,세계술박물관,박물관,126.8178089,33.3536155,5013032000,표선면,5013032022,표선면 하천리
22," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 상창리 1963번지 2호  ,헬로키티아일랜드,박물관,126.3515534,33.2902222,5013031000,안덕면,5013031024,안덕면 상창리
23," 박물관, 미술관 ",제주특별자치도 제주시 한림읍 귀덕리 3861번지  ,이랜드 뮤지엄,박물관,126.2745534,33.4354522,5011025000,한림읍,5011025021,한림읍 귀덕리
24," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 난산리 2570번지  ,세계오지민속박물관,박물관,126.8406427,33.4157006,5013025900,성산읍,5013025931,성산읍 난산리
25," 박물관, 미술관 ",제주특별자치도 제주시 삼도이동 1261번지 8호  ,아라리오 뮤지엄 탑동 시네마,미술관,126.5221063,33.5179429,5011056000,삼도2동,5011010600,삼도이동
26," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 서광리 산 39번지  ,제주항공우주박물관,박물관,126.2990488,33.3029388,5013031000,안덕면,5013031027,안덕면 서광리
27," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 온평리 2604번지  ,오백년이야기,박물관,126.8848268,33.416854,5013025900,성산읍,5013025926,성산읍 온평리
28," 박물관, 미술관 ",제주특별자치도 제주시 노형동 86번지  ,넥슨컴퓨터박물관,박물관,126.4858322,33.4722914,5011066000,노형동,5011012200,노형동
29," 박물관, 미술관 ",제주특별자치도 서귀포시 동홍동 281번지 2호  ,왈종미술관,미술관,126.5731993,33.2449721,5013057000,동홍동,5013010500,동홍동
30," 박물관, 미술관 ",제주특별자치도 제주시 한경면 저지리 2893번지  ,(주)타임파크,박물관,126.2589776,33.324147,5011031000,한경면,5011031030,한경면 저지리
31," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 상천리 380번지  ,본태박물관,박물관,126.3925157,33.3038316,5013031000,안덕면,5013031030,안덕면 상천리
32," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 교래리 524번지  ,탐라신화공원,박물관,126.6772378,33.4367862,5011025900,조천읍,5011025929,조천읍 교래리
33," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 교래리 385번지 1호  ,에코랜드,박물관,126.6791852,33.4473647,5011025900,조천읍,5011025929,조천읍 교래리
34," 박물관, 미술관 ",제주특별자치도 제주시 연동 1320번지  ,제주아이스뮤지엄 종합전시관,박물관,126.4878987,33.4703692,5011065000,연동,5011013700,연동
35," 박물관, 미술관 ",제주특별자치도 제주시 한림읍 금악리 산 30번지 12호  ,그리스신화박물관,미술관,126.3491778,33.3501896,5011025000,한림읍,5011025025,한림읍 금악리
36," 박물관, 미술관 ",제주특별자치도 서귀포시 법환동 914번지  ,sos박물관,박물관,126.5090094,33.246464,5013059000,대륜동,5013010200,법환동
37," 박물관, 미술관 ",제주특별자치도 서귀포시 성산읍 고성리 127번지 1호  ,(주)제주해양과학관,박물관,126.924719,33.4296217,5013025900,성산읍,5013025924,성산읍 고성리
38," 박물관, 미술관 ",제주특별자치도 서귀포시 색달동 2547번지 3호  ,박물관은살아있다,미술관,126.4113572,33.2553346,,,5013011900,색달동
39," 박물관, 미술관 ",제주특별자치도 제주시 조천읍 선흘리 600번지  ,다희연 티 뮤지엄,박물관,126.7064508,33.4870791,5011025900,조천읍,5011025930,조천읍 선흘리
40," 박물관, 미술관 ",제주특별자치도 제주시 구좌읍 평대리 3322번지  ,메이즈뮤지움,박물관,126.8009119,33.4887233,5011025600,구좌읍,5011025633,구좌읍 평대리
41," 박물관, 미술관 ",제주특별자치도 제주시 연동 324번지 10호  ,설문대여성문화센터 여성역사문화전시관,박물관,126.5005316,33.484524,5011065000,연동,5011013700,연동
42," 박물관, 미술관 ",제주특별자치도 서귀포시 표선면 세화리 847번지  ,비엘바이크파크,박물관,126.7949439,33.3452179,5013032000,표선면,5013032025,표선면 세화리
43," 박물관, 미술관 ",제주특별자치도 서귀포시 서홍동 557번지 1호  ,세계조가비박물관,미술관,126.5519569,33.2474043,5013058000,서홍동,5013010600,서홍동
44," 박물관, 미술관 ",제주특별자치도 서귀포시 대정읍 안성리 1661번지 1호  ,제주추사관,미술관,126.2782087,33.2504968,5013025000,대정읍,5013025023,대정읍 안성리
45," 박물관, 미술관 ",제주특별자치도 제주시 봉개동 237번지 2호  ,제주 4. 3 평화기념관,박물관,126.6142132,33.4569246,5011062000,봉개동,5011011600,봉개동
46," 박물관, 미술관 ",제주특별자치도 서귀포시 상예동 4303번지  ,제주유리박물관,미술관,126.3702011,33.2780445,5013062000,예래동,5013012000,상예동
47," 박물관, 미술관 ",제주특별자치도 제주시 연동 680번지 7호  ,제주도립미술관,미술관,126.4994189,33.4529557,5011065000,연동,5011013700,연동
48," 박물관, 미술관 ",제주특별자치도 서귀포시 대정읍 구억리 889번지 1호  ,제주옹기박물관,박물관,126.2818295,33.2760068,5013025000,대정읍,5013025030,대정읍 구억리
49," 박물관, 미술관 ",제주특별자치도 서귀포시 대정읍 일과리 551번지 18호  ,초콜릿 박물관,박물관,126.2303133,33.2561983,5013025000,대정읍,5013025025,대정읍 일과리
50," 박물관, 미술관 ",제주특별자치도 서귀포시 안덕면 상창리 271번지  ,카멜리아 힐,박물관,126.3697252,33.2892087,5013031000,안덕면,5013031024,안덕면 상창리
51," 박물관, 미술관 ",제주특별자치도 서귀포시 남원읍 신례리 2070번지  ,휴애리,박물관,126.6361764,33.3096753,5013025300,남원읍,5013025329,남원읍 신례리
52," 박물관, 미술관 ",제주특별자치도 제주시 애월읍 소길리 155번지 112호  ,테지움사파리,박물관,126.3902706,33.418824,5011025300,애월읍,5011025328,애월읍 소길리
53," 박물관, 미술관 ",제주특별자치도 서귀포시 표선면 성읍리 2381번지  ,트릭아트뮤지엄,박물관,126.7855246,33.3992056,5013032000,표선면,5013032023,표선면 성읍리
