번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
4739,농어촌민박업,제주특별자치도 서귀포시 서호동 618-4,오고파,주거지역,126.5228791,33.2594683,5013059000,대륜동,5013010300,서호동
4740,농어촌민박업,제주특별자치도 서귀포시 남원읍 하례리 1749,오앤비팜스테이,계획관리지역,126.6053978,33.2970898,5013025300,남원읍,5013025328,남원읍 하례리
4741,농어촌민박업,,설렘,자연녹지지역,123.7417741,32.5220203,,,,
4742,농어촌민박업,제주특별자치도 제주시 애월읍 상가리 1647,NOT ALONE HERE,관리지역,126.3426343,33.449327,5011025300,애월읍,5011025331,애월읍 상가리
4743,농어촌민박업,,애월제주포레,보전관리지역,123.7417741,32.5220203,,,,
4744,농어촌민박업,제주특별자치도 서귀포시 표선면 하천리 2185-34,나인하우스,계획관리지역,126.8135816,33.3516096,5013032000,표선면,5013032022,표선면 하천리
4745,농어촌민박업,제주특별자치도 제주시 조천읍 대흘리 1113-69,힐담(힐링을담다),계획관리지엳,126.6696251,33.4867252,5011025900,조천읍,5011025926,조천읍 대흘리
4746,농어촌민박업,제주특별자치도 제주시 구좌읍 한동리 1338-16,토끼풀민박,단독주택,126.8291888,33.5415485,5011025600,구좌읍,5011025630,구좌읍 한동리
4747,농어촌민박업,,애월더문,계획관리지역,123.7417741,32.5220203,,,,
4748,농어촌민박업,제주특별자치도 제주시 한림읍 금능리 2088-62,분위기,,126.230573,33.3862581,5011025000,한림읍,5011025033,한림읍 금능리
4749,농어촌민박업,제주특별자치도 서귀포시 성산읍 고성리 1577-5,제주편백휴낭,,126.9042203,33.4478445,5013025900,성산읍,5013025924,성산읍 고성리
4750,농어촌민박업,,프로방스테이,자연녹지지역,123.7417741,32.5220203,,,,
4751,농어촌민박업,제주특별자치도 제주시 한림읍 협재리 1571,두부스테이,,126.2471158,33.3978432,5011025000,한림읍,5011025031,한림읍 협재리
